0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19 :1510
11,18,3,0,5,7,9,17,19,15,14,4,1,6,8,12,10,13,2,16 :1411
5,3,0,15,11,18,16,17,14,19,2,12,1,7,10,6,9,4,8,13 :1419
0,11,18,17,19,5,16,10,6,3,14,12,15,4,7,2,1,9,8,13 :1419
14,17,3,1,6,15,19,4,5,8,11,18,0,7,9,16,10,12,2,13 :1420
8,5,6,10,7,9,14,11,12,4,1,15,19,3,13,17,16,2,0,18 :1430
11,18,0,16,5,7,9,17,19,15,14,4,1,6,8,2,12,10,3,13 :1441
11,18,3,0,15,14,16,8,17,19,2,12,1,7,5,9,4,6,10,13 :1442
4,3,0,15,11,18,16,17,14,19,2,12,1,10,7,6,5,8,9,13 :1442
17,8,5,6,19,10,15,4,1,7,11,9,16,3,14,12,2,0,18,13 :1443
3,0,5,7,9,18,10,11,12,4,1,15,16,17,14,19,2,6,8,13 :1449
0,9,15,8,11,18,16,17,14,19,2,12,1,7,10,5,4,6,3,13 :1465
5,11,18,2,19,3,0,15,16,10,7,1,6,17,14,12,9,4,8,13 :1468
11,9,17,18,19,3,0,15,16,10,7,1,6,8,14,2,12,5,4,13 :1470
0,2,18,11,12,7,9,17,3,15,16,19,8,10,4,1,13,14,5,6 :1477
14,0,10,7,6,5,12,9,18,4,1,15,19,3,13,17,16,8,2,11 :1486
8,11,1,9,17,5,16,10,6,3,14,12,15,4,7,2,0,19,18,13 :1487
13,11,18,9,17,15,16,8,14,19,2,12,1,3,0,10,7,6,5,4 :1514

19,5,10,6,14,12,15,4,1,7,11,18,3,0,16,9,17,2,8,13 :1360
8,5,6,19,10,15,4,1,12,7,11,18,3,0,16,9,17,14,2,13 :1370
13,8,5,19,11,18,0,10,6,3,14,12,15,4,7,2,1,16,9,17 :1377
11,18,3,0,5,7,9,17,19,15,14,4,1,6,8,12,10,13,2,16 :1411
11,18,3,0,5,7,9,17,19,15,14,16,8,2,12,1,4,6,10,13 :1419
13,8,5,6,19,10,15,4,1,7,11,9,16,3,14,12,2,0,18,17 :1424
11,18,3,0,15,14,16,8,17,19,5,7,9,4,1,6,12,10,13,2 :1428
0,11,18,5,6,7,9,17,3,15,16,19,8,10,4,14,12,2,1,13 :1433
0,14,18,11,1,7,9,17,3,12,16,19,8,2,15,5,4,6,10,13 :1440
18,11,3,0,15,14,6,8,17,19,2,12,7,9,10,4,16,13,5,1 :1441
17,8,5,6,19,10,15,4,1,7,11,9,16,3,14,12,2,0,18,13 :1443
11,18,0,14,2,12,7,17,3,15,16,19,8,10,9,1,13,5,6,4 :1450
0,18,11,3,15,10,16,8,17,19,2,12,1,7,5,9,4,13,14,6 :1454
0,18,11,3,15,16,10,8,17,19,2,12,1,7,5,9,4,13,14,6 :1454
0,10,5,2,19,6,15,4,1,7,11,18,12,9,17,3,16,8,13,14 :1459
8,5,0,15,11,18,16,17,14,19,2,12,6,10,4,1,7,9,3,13 :1474
0,8,18,6,19,10,15,4,1,7,11,9,16,17,14,2,12,5,3,13 :1478
8,11,1,9,17,5,16,10,6,3,14,12,15,4,7,2,0,19,18,13 :1487
13,11,18,9,17,15,16,8,14,19,2,12,1,3,0,10,7,6,5,4 :1514
0,2,18,11,9,5,16,10,6,3,14,12,15,4,7,17,19,8,1,13 :1531

19,5,10,6,12,15,4,1,8,7,11,18,3,0,16,9,17,14,2,13 :1367
14,12,15,19,10,1,13,5,6,7,11,18,3,0,16,9,17,2,8,4 :1369
8,5,6,19,10,15,4,1,12,7,11,18,3,0,16,9,17,14,2,13 :1370
8,5,6,19,10,15,4,1,12,7,11,18,3,0,16,9,17,14,2,13 :1370
14,12,4,7,11,18,3,0,17,15,16,19,8,10,9,1,13,5,6,2 :1373
13,8,5,19,11,18,0,10,6,3,14,12,15,4,7,2,1,16,9,17 :1377
5,6,19,10,15,4,1,12,14,7,11,18,3,0,16,9,17,2,8,13 :1382
0,18,11,3,10,17,7,5,19,15,14,16,8,2,12,1,4,6,9,13 :1387
15,10,8,19,12,5,4,13,1,7,11,18,3,0,16,9,17,2,14,6 :1388
13,8,18,6,19,10,15,4,1,7,11,9,5,0,3,14,12,2,16,17 :1399
11,18,3,0,15,14,16,8,17,19,5,7,9,4,1,6,12,10,13,2 :1428
0,11,18,5,6,7,9,17,3,15,16,19,8,10,4,14,12,2,1,13 :1433
10,6,14,15,11,18,3,0,17,19,2,12,1,7,5,9,4,13,16,8 :1443
18,11,3,0,15,14,6,8,17,19,2,12,7,16,10,9,1,13,5,4 :1448
11,18,3,0,15,14,16,8,17,19,2,12,1,7,5,9,4,13,6,10 :1473
11,18,0,3,15,16,10,8,17,19,2,12,1,5,7,9,14,4,6,13 :1475
11,8,17,19,2,18,0,10,6,3,14,12,15,4,7,9,16,13,5,1 :1476
13,5,11,18,0,14,6,8,17,19,2,12,7,9,10,3,15,4,1,16 :1488
11,18,0,16,14,12,7,17,3,15,2,6,8,19,9,10,4,13,5,1 :1520
0,8,18,6,10,15,11,16,17,19,2,12,1,7,5,9,4,13,14,3 :1524

19,5,10,6,12,15,4,1,8,7,11,18,3,0,16,9,17,14,2,13 :1367
8,18,11,3,10,17,7,5,19,15,14,6,4,1,12,0,16,9,2,13 :1367
14,12,15,19,10,1,13,5,6,7,11,18,3,0,16,9,17,2,8,4 :1369
8,5,6,19,10,15,4,1,12,7,11,18,3,0,16,9,17,14,2,13 :1370
14,12,4,7,11,18,3,0,17,15,16,19,8,10,9,1,13,5,6,2 :1373
5,6,19,10,15,4,1,12,14,7,11,18,3,0,16,9,17,2,8,13 :1382
0,5,6,19,10,15,8,1,12,7,11,18,3,17,14,16,2,4,9,13 :1382
13,18,0,3,10,11,7,5,19,15,14,16,8,2,12,1,4,9,6,17 :1392
19,5,10,6,12,15,4,1,8,7,13,11,18,0,3,14,2,16,9,17 :1392
13,8,5,19,10,6,14,12,1,7,11,18,3,0,16,9,17,2,15,4 :1394
18,12,15,19,10,1,13,5,6,7,11,0,3,16,8,17,2,9,14,4 :1404
0,18,11,3,10,17,7,5,19,15,14,16,8,9,4,1,6,12,13,2 :1407
0,18,11,3,10,15,16,8,17,19,2,12,1,5,7,9,14,4,6,13 :1475
11,8,17,19,2,18,0,10,6,3,14,12,15,4,7,9,16,13,5,1 :1476
15,10,8,17,19,5,4,13,1,7,11,18,3,0,16,2,12,9,14,6 :1476
14,18,0,3,15,16,10,8,17,19,2,12,1,13,5,6,7,11,9,4 :1496
11,18,3,0,15,14,16,8,17,10,1,7,5,2,12,19,4,6,9,13 :1502
15,4,13,11,18,16,10,8,17,19,2,12,1,5,7,3,0,9,14,6 :1516
11,18,0,16,14,12,7,17,3,15,2,6,8,19,9,10,4,13,5,1 :1520
0,8,18,6,10,15,11,16,17,19,2,12,1,7,5,9,4,13,14,3 :1524

12,4,11,3,10,17,7,15,19,0,14,16,18,5,8,9,1,13,6,2 :1328
13,5,6,19,10,15,8,1,12,7,11,14,18,3,0,16,9,17,2,4 :1361
19,5,10,6,12,15,4,1,8,7,11,18,3,0,16,9,17,14,2,13 :1367
14,12,15,19,10,1,13,5,6,7,11,18,3,0,16,9,17,2,8,4 :1369
0,8,5,19,10,6,14,12,1,7,11,15,18,3,17,16,2,4,9,13 :1371
0,5,6,19,10,15,18,1,12,7,11,14,3,17,8,16,2,4,9,13 :1371
5,6,18,10,8,1,12,19,4,7,11,14,3,0,16,9,17,2,15,13 :1373
11,7,5,14,6,18,3,0,17,15,16,19,8,10,9,4,1,12,2,13 :1374
19,5,10,6,15,4,14,12,1,7,0,18,3,8,16,9,11,13,2,17 :1377
0,5,6,19,10,15,8,1,12,7,11,18,3,17,14,16,2,4,9,13 :1382
19,5,10,6,12,15,4,1,8,7,13,11,18,0,3,14,2,16,9,17 :1392
18,12,15,19,10,1,13,5,6,7,11,0,3,16,8,17,2,9,14,4 :1404
0,18,11,3,10,17,7,5,19,15,14,16,8,9,4,1,6,12,13,2 :1407
13,8,5,19,10,6,12,1,0,7,11,18,3,17,14,16,2,4,9,15 :1409
11,18,3,0,16,17,7,5,19,15,14,6,4,1,12,8,10,9,13,2 :1425
5,6,19,10,15,8,1,2,12,7,11,18,3,0,16,9,17,14,4,13 :1460
8,10,15,17,19,5,4,13,1,7,11,18,3,14,6,12,0,16,9,2 :1463
14,18,0,3,15,16,10,8,17,19,2,12,1,13,5,6,7,11,9,4 :1496
5,19,10,6,12,16,4,1,8,7,13,11,18,0,3,14,9,17,2,15 :1501
11,18,3,0,15,14,16,8,17,10,1,7,5,2,12,19,4,6,9,13 :1502

12,18,11,3,10,17,7,5,19,15,14,4,0,16,8,9,1,13,6,2 :1324
12,4,11,3,10,17,7,15,19,0,14,16,18,5,8,9,1,13,6,2 :1328
11,18,3,0,7,5,14,6,17,15,16,19,8,10,9,4,1,12,13,2 :1351
19,5,10,6,12,15,4,1,8,7,0,11,18,3,17,14,16,2,9,13 :1359
13,5,6,19,10,15,8,1,12,7,11,14,18,3,0,16,9,17,2,4 :1361
5,6,0,19,8,10,14,12,1,7,11,15,18,3,17,16,9,4,2,13 :1367
11,7,5,18,3,0,17,16,19,15,14,6,4,1,12,8,10,9,2,13 :1367
5,6,18,10,8,1,12,19,4,7,11,14,3,0,16,9,17,2,15,13 :1373
11,7,5,14,6,18,3,0,17,15,16,19,8,10,9,4,1,12,2,13 :1374
12,4,10,19,18,5,8,1,6,7,11,14,3,0,16,9,13,2,15,17 :1377
0,5,6,19,10,15,8,1,12,7,11,18,3,17,14,16,2,4,9,13 :1382
0,5,6,19,10,15,8,1,12,7,11,18,3,17,14,16,2,4,9,13 :1382
5,10,12,14,6,18,3,0,17,15,16,19,8,4,1,7,13,11,2,9 :1397
18,4,11,3,10,17,7,15,19,0,14,5,16,8,9,1,6,12,13,2 :1407
0,5,10,7,11,18,3,17,19,15,14,16,8,9,4,1,6,12,2,13 :1418
0,5,6,19,10,15,8,1,12,7,4,13,11,18,3,14,2,16,9,17 :1429
0,10,5,19,14,8,9,6,1,7,11,15,18,3,17,16,2,4,12,13 :1435
5,6,14,12,1,7,3,0,17,15,16,19,8,10,9,4,11,18,2,13 :1436
5,6,19,10,15,8,1,2,12,7,11,18,3,0,16,9,17,14,4,13 :1460
10,12,19,4,7,11,3,17,2,0,14,16,18,5,8,9,1,13,6,15 :1468

12,18,11,3,10,17,7,5,19,15,14,4,0,16,8,9,1,13,6,2 :1324
12,11,3,10,17,7,19,15,4,0,14,16,18,5,8,9,1,13,6,2 :1330
3,6,18,10,8,1,12,19,4,7,11,17,15,0,14,16,5,9,13,2 :1332
12,4,11,3,10,17,7,15,19,0,5,6,8,1,13,18,14,2,16,9 :1339
12,11,3,10,17,7,19,18,5,15,14,4,0,16,8,9,1,13,6,2 :1346
11,18,3,0,7,5,14,6,17,15,16,19,8,10,9,4,1,12,13,2 :1351
0,5,6,19,10,15,8,1,12,7,4,11,3,17,14,16,18,9,13,2 :1358
5,6,19,4,10,15,8,1,12,7,11,14,18,3,0,16,9,17,2,13 :1367
11,7,5,14,6,18,3,0,17,15,16,19,8,10,9,4,1,12,2,13 :1374
5,10,12,6,0,15,19,8,1,7,11,18,3,17,14,16,2,4,9,13 :1389
0,5,6,10,12,18,3,17,14,15,16,19,8,4,1,7,13,11,2,9 :1393
5,19,10,15,8,12,18,1,6,7,11,14,3,0,16,9,13,17,2,4 :1393
5,6,19,10,4,15,8,1,12,7,11,14,18,3,0,13,2,16,9,17 :1396
4,10,19,5,8,6,0,1,12,7,11,18,3,17,14,16,2,9,13,15 :1402
5,6,19,10,14,15,8,1,12,7,4,13,11,18,3,0,16,9,17,2 :1407
0,5,6,17,10,15,8,1,12,7,11,14,18,3,16,19,9,4,13,2 :1409
0,5,10,7,11,18,3,17,19,15,14,16,8,9,4,1,6,12,2,13 :1418
6,8,1,12,10,17,7,15,19,0,14,16,18,5,4,11,3,9,2,13 :1419
13,12,6,10,8,1,17,19,4,7,11,14,3,0,15,18,16,9,5,2 :1425
13,1,12,11,7,5,14,6,17,15,16,19,8,10,18,3,0,9,2,4 :1435

12,18,11,3,10,17,7,5,19,15,14,4,0,16,8,9,1,13,6,2 :1324
12,18,11,3,10,17,7,5,19,15,14,4,0,16,8,9,1,13,6,2 :1324
12,11,3,10,17,7,19,15,4,0,14,16,18,5,8,9,1,13,6,2 :1330
4,10,12,11,14,17,7,15,19,0,5,6,8,1,13,18,3,16,9,2 :1335
3,10,12,6,19,15,4,8,1,7,11,18,0,17,14,16,5,9,13,2 :1347
3,10,12,6,0,15,19,8,1,7,11,17,18,5,14,4,16,9,13,2 :1355
5,6,18,10,8,1,12,19,4,7,11,17,0,15,3,14,16,2,9,13 :1359
3,18,5,10,8,1,12,19,4,7,11,17,15,14,0,16,9,13,6,2 :1364
3,6,10,1,12,7,19,15,4,0,14,16,18,5,8,11,17,9,13,2 :1367
10,17,19,0,4,15,8,1,12,7,11,14,18,3,16,5,9,13,6,2 :1370
12,11,3,10,17,7,19,18,5,15,14,6,0,8,1,16,2,4,9,13 :1371
3,10,16,18,5,1,12,19,4,7,11,17,15,0,14,8,9,13,6,2 :1384
3,6,8,10,17,7,19,18,5,15,14,4,0,1,12,11,16,9,13,2 :1408
0,5,6,17,10,15,8,1,12,7,11,14,18,3,16,19,9,4,13,2 :1409
0,5,6,17,10,15,8,1,12,7,11,14,18,3,16,19,9,4,13,2 :1409
0,5,10,7,11,18,3,17,19,15,14,16,8,9,4,1,6,12,2,13 :1418
5,17,10,6,0,15,19,8,1,7,11,18,3,12,14,16,9,4,13,2 :1420
4,10,17,19,5,15,8,1,12,7,11,14,18,3,0,6,13,2,16,9 :1435
10,17,15,0,5,6,8,1,12,7,11,14,18,3,16,19,9,4,13,2 :1441
17,10,15,12,7,11,3,16,19,0,5,6,8,1,13,18,14,2,9,4 :1447

12,18,11,3,10,17,7,5,19,15,14,4,0,16,8,9,1,13,6,2 :1324
12,3,10,19,15,0,8,13,1,7,11,17,18,5,14,4,16,9,6,2 :1328
12,11,3,10,17,7,19,15,4,0,14,16,18,5,8,9,1,13,6,2 :1330
12,11,3,10,17,7,19,15,4,0,14,16,18,5,8,9,1,13,6,2 :1330
3,10,18,5,12,7,11,17,19,15,14,16,8,9,4,1,6,0,13,2 :1350
18,6,10,1,12,7,19,15,4,0,14,11,3,17,5,16,8,9,13,2 :1357
3,6,10,1,12,7,19,15,4,0,14,16,18,5,8,11,17,9,13,2 :1367
0,5,10,7,11,18,3,17,19,15,6,8,1,12,4,14,16,2,9,13 :1367
6,18,11,3,10,17,7,5,19,15,14,1,12,4,0,16,8,9,13,2 :1370
10,17,19,0,4,15,8,1,12,7,11,14,18,3,16,5,9,13,6,2 :1370
12,11,3,10,17,7,19,18,5,15,14,6,0,8,1,16,2,4,9,13 :1371
3,10,16,18,5,1,12,19,4,7,11,17,15,0,14,8,9,13,6,2 :1384
10,19,0,15,12,3,9,8,1,7,11,17,18,5,14,4,16,13,6,2 :1386
10,6,0,15,19,8,17,1,12,7,11,14,18,3,16,5,9,4,13,2 :1398
12,18,11,3,6,17,7,5,19,15,14,4,0,16,8,10,1,13,9,2 :1405
0,5,10,7,11,18,3,17,19,15,14,16,8,9,4,1,6,12,2,13 :1418
3,10,16,6,0,15,19,8,1,7,11,17,18,5,12,4,14,9,13,2 :1435
10,17,15,0,5,6,8,1,12,7,11,14,18,3,16,19,9,4,13,2 :1441
5,10,18,16,8,9,12,19,4,7,11,17,0,15,3,14,1,6,2,13 :1452
10,11,17,6,12,7,19,15,4,0,14,16,18,5,8,1,13,3,9,2 :1496

3,10,18,5,12,19,7,11,17,15,14,4,0,16,8,9,1,13,6,2 :1322
12,18,11,3,10,17,7,5,19,15,14,4,0,16,8,9,1,13,6,2 :1324
12,3,10,19,15,0,8,13,1,7,11,17,18,5,14,4,16,9,6,2 :1328
12,11,3,10,17,7,19,15,4,0,14,16,18,5,8,9,1,13,6,2 :1330
18,6,10,1,12,7,19,15,4,0,14,11,3,17,5,16,8,9,13,2 :1357
12,18,3,10,5,19,4,16,1,7,11,17,15,0,14,8,9,13,6,2 :1364
3,6,10,1,12,7,19,15,4,0,14,16,18,5,8,11,17,9,13,2 :1367
0,5,10,7,11,18,3,17,19,15,6,8,1,12,4,14,16,2,9,13 :1367
3,6,10,1,12,7,19,15,4,0,14,16,18,5,8,11,17,9,13,2 :1367
6,18,11,3,10,17,7,5,19,15,14,1,12,4,0,16,8,9,13,2 :1370
3,10,16,18,5,1,12,19,4,7,11,17,15,0,14,8,9,13,6,2 :1384
3,6,17,12,0,15,19,8,1,7,11,18,10,5,4,14,16,9,13,2 :1395
10,6,0,15,19,8,17,1,12,7,11,14,18,3,16,5,9,4,13,2 :1398
12,3,10,17,7,9,19,15,4,0,14,16,18,5,8,11,1,13,6,2 :1399
12,10,17,19,15,0,8,1,6,7,11,14,18,3,16,5,9,4,13,2 :1406
10,15,19,17,12,7,11,3,4,0,14,16,18,5,8,9,1,13,6,2 :1416
3,10,16,6,1,18,5,19,4,7,11,17,15,0,14,8,9,12,13,2 :1423
3,10,16,6,0,15,8,13,1,7,11,17,18,5,14,4,19,12,9,2 :1452
6,3,16,18,5,1,12,19,4,7,11,17,10,15,14,0,8,9,13,2 :1462
3,10,16,19,15,0,9,8,1,7,11,17,18,5,12,4,14,13,6,2 :1462

3,10,18,5,12,19,7,11,17,15,14,4,0,16,8,9,1,13,6,2 :1322
12,18,11,3,10,17,7,5,19,15,14,4,0,16,8,9,1,13,6,2 :1324
12,3,10,19,15,0,8,13,1,7,11,17,18,5,14,4,16,9,6,2 :1328
12,11,3,10,17,7,19,15,4,0,14,16,18,5,8,9,1,13,6,2 :1330
12,11,3,10,17,7,19,15,4,0,14,16,18,5,8,9,1,13,6,2 :1330
18,6,10,1,12,7,19,15,4,0,14,11,3,17,5,16,8,9,13,2 :1357
3,10,18,5,19,7,11,17,0,15,6,8,1,12,4,14,16,2,9,13 :1359
12,3,10,19,1,18,5,16,4,7,11,17,15,0,14,8,9,13,6,2 :1364
3,18,10,1,12,7,19,15,4,0,14,16,5,11,17,8,9,13,6,2 :1364
12,18,3,10,5,19,4,16,1,7,11,17,15,0,14,8,9,13,6,2 :1364
5,10,7,11,18,3,17,19,12,15,14,4,0,16,8,9,1,13,6,2 :1392
11,10,7,5,14,18,3,17,19,15,6,8,1,12,4,0,16,9,13,2 :1397
10,6,0,15,19,8,17,1,12,7,11,3,4,14,16,18,5,9,13,2 :1398
12,3,10,17,7,9,19,15,4,0,14,16,18,5,8,11,1,13,6,2 :1399
3,6,18,5,12,19,7,11,17,15,14,4,10,1,0,16,8,9,13,2 :1408
10,11,18,3,6,17,7,5,19,15,14,4,0,16,8,1,12,2,9,13 :1416
10,15,19,17,12,7,11,3,4,0,14,16,18,5,8,9,1,13,6,2 :1416
10,15,19,17,12,7,11,3,4,0,14,16,18,5,8,9,1,13,6,2 :1416
10,15,19,17,12,7,11,3,4,0,6,8,1,14,18,16,5,9,13,2 :1418
6,3,16,18,5,1,12,19,4,7,11,17,10,15,14,0,8,9,13,2 :1462

3,10,18,5,12,19,7,11,17,15,14,4,0,16,8,9,1,13,6,2 :1322
12,11,3,10,7,19,18,5,17,15,14,4,0,16,8,9,1,13,6,2 :1322
3,10,18,5,12,19,7,11,17,15,14,4,0,16,8,9,1,13,6,2 :1322
3,10,12,19,7,11,17,15,4,0,14,16,18,5,8,9,1,13,6,2 :1328
12,11,3,10,17,7,19,15,4,0,14,16,18,5,8,9,1,13,6,2 :1330
12,3,10,19,18,5,7,11,17,15,14,4,0,16,8,9,1,13,6,2 :1339
14,10,18,5,12,19,7,11,17,15,8,4,0,16,3,9,1,13,6,2 :1343
4,11,3,12,7,9,19,15,10,0,14,16,18,5,17,8,1,13,6,2 :1358
12,3,10,19,4,18,5,16,1,7,11,17,15,0,14,8,9,13,6,2 :1364
3,18,10,1,12,7,19,15,4,0,14,16,5,11,17,8,9,13,6,2 :1364
12,18,3,10,5,19,4,16,1,7,11,17,15,0,14,8,9,13,6,2 :1364
3,10,18,5,12,19,4,16,1,7,11,17,15,0,14,8,9,13,6,2 :1364
12,3,10,19,1,18,5,16,4,7,11,17,9,15,0,14,8,13,6,2 :1368
12,11,10,5,14,18,3,17,19,15,6,8,1,7,4,0,16,9,13,2 :1369
11,18,6,3,10,17,7,5,19,15,14,4,0,8,1,12,16,9,13,2 :1380
12,3,10,19,7,17,9,15,4,0,14,16,18,5,8,11,1,13,6,2 :1392
10,15,19,17,12,7,11,3,4,0,14,16,18,5,8,9,1,13,6,2 :1416
10,15,19,17,12,7,11,3,4,0,14,16,18,5,8,9,1,13,6,2 :1416
18,8,17,1,12,7,19,15,4,0,14,11,3,5,16,9,10,13,6,2 :1438
18,6,1,3,10,17,7,12,19,15,14,4,0,16,11,5,8,9,13,2 :1458

3,10,18,5,12,19,7,11,17,15,14,4,0,16,8,9,1,13,6,2 :1322
12,11,3,10,7,19,18,5,17,15,14,4,8,0,16,9,1,13,6,2 :1322
3,10,18,5,12,19,7,11,17,15,14,4,0,16,8,9,1,13,6,2 :1322
12,11,3,10,7,19,18,5,17,15,14,4,0,16,8,9,1,13,6,2 :1322
12,11,3,10,17,7,19,15,4,0,14,16,18,5,8,9,1,13,6,2 :1330
12,11,3,10,17,7,19,15,4,0,14,16,18,5,8,9,1,13,6,2 :1330
12,3,10,19,18,5,7,11,17,15,14,4,0,16,8,9,1,13,6,2 :1339
14,10,18,5,12,19,7,11,17,15,8,4,0,16,3,9,1,13,6,2 :1343
3,12,4,1,7,9,19,15,10,0,14,16,18,5,11,17,8,13,6,2 :1363
3,10,18,5,12,19,4,16,1,7,11,17,15,0,14,8,9,13,6,2 :1364
3,10,18,5,12,19,4,16,1,7,11,17,15,14,0,8,9,13,6,2 :1364
3,10,18,5,12,19,7,11,17,15,14,4,16,1,0,8,9,13,6,2 :1364
12,3,10,19,4,18,5,16,1,7,11,17,15,0,14,8,9,13,6,2 :1364
1,10,12,19,7,11,17,15,4,0,14,16,18,5,8,3,9,13,6,2 :1364
3,10,18,5,12,19,7,11,17,15,14,4,0,16,1,8,9,13,6,2 :1364
3,10,18,5,12,19,4,16,1,7,11,17,15,14,0,8,9,13,6,2 :1364
3,9,10,14,12,19,4,16,1,7,11,17,15,0,18,5,8,13,6,2 :1369
12,3,10,19,7,17,9,15,4,0,14,16,18,5,8,11,1,13,6,2 :1392
18,8,17,1,12,7,19,15,4,0,14,11,3,5,16,9,10,13,6,2 :1438
10,17,3,18,12,7,19,15,4,0,14,16,5,11,8,9,1,13,6,2 :1440

3,10,12,19,7,11,17,18,5,15,14,4,0,16,8,9,1,13,6,2 :1322
3,10,18,5,12,19,7,11,17,15,14,4,0,16,8,9,1,13,6,2 :1322
3,10,12,19,7,11,17,15,4,0,14,16,18,5,8,9,1,13,6,2 :1328
12,11,3,10,17,7,19,15,4,0,14,16,18,5,8,9,1,13,6,2 :1330
12,3,10,11,7,19,18,5,17,15,14,4,0,16,8,9,1,13,6,2 :1333
12,3,10,19,18,5,7,11,17,15,14,4,0,16,8,9,1,13,6,2 :1339
14,10,18,5,12,19,7,11,17,15,8,4,0,16,3,9,1,13,6,2 :1343
3,10,12,19,14,4,16,9,1,7,11,17,15,0,18,5,8,13,6,2 :1343
3,18,10,14,12,19,4,16,1,7,11,17,5,15,0,8,9,13,6,2 :1364
3,10,18,5,12,19,4,16,1,7,11,17,15,0,14,8,9,13,6,2 :1364
3,10,18,12,19,4,5,16,1,7,11,17,15,0,14,8,9,13,6,2 :1364
3,10,18,5,12,19,4,16,1,7,11,17,15,0,14,8,9,13,6,2 :1364
3,10,18,5,12,19,4,16,1,7,11,17,15,14,0,8,9,13,6,2 :1364
12,3,10,19,18,5,7,11,17,15,14,4,16,1,0,8,9,13,6,2 :1364
3,10,18,5,12,19,7,11,17,15,14,4,0,16,1,8,9,13,6,2 :1364
3,9,10,1,12,19,7,11,17,15,14,4,0,16,18,5,8,13,6,2 :1369
